iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
1,0.61,0.6059,60590.19,60590.79
2,1.37,0.6838,68382.76,68384.12
3,2.07,0.6892,68918.93,68921.00
4,3.33,0.8327,83263.52,83266.85
5,3.99,0.7973,79726.71,79730.70
6,4.64,0.7741,77403.79,77408.43
7,5.28,0.7549,75489.24,75494.52
8,6.58,0.8225,82242.74,82249.32
9,7.23,0.8038,80374.92,80382.16
10,7.90,0.7900,78988.63,78996.53
11,8.54,0.7768,77667.45,77676.00
12,9.83,0.8193,81924.62,81934.45
13,10.48,0.8065,80642.02,80652.51
14,11.14,0.7958,79573.37,79584.51
15,11.80,0.7867,78655.80,78667.60
16,13.06,0.8165,81637.99,81651.06
17,13.73,0.8079,80775.53,80789.27
18,14.40,0.7997,79959.06,79973.46
19,15.04,0.7917,79159.75,79174.79
20,16.30,0.8149,81474.27,81490.56
21,16.95,0.8071,80689.62,80706.56
22,17.59,0.7996,79944.72,79962.31
23,18.24,0.7929,79272.71,79290.95
24,19.51,0.8130,81284.53,81304.04
25,20.16,0.8063,80610.02,80630.17
26,20.81,0.8003,80012.54,80033.35
27,21.46,0.7950,79474.18,79495.65
28,22.72,0.8114,81117.17,81139.89
29,23.39,0.8066,80638.17,80661.56
30,24.05,0.8016,80136.26,80160.31
31,24.70,0.7967,79645.72,79670.42
32,25.94,0.8108,81051.83,81077.77
33,26.60,0.8061,80580.38,80606.98
34,27.24,0.8011,80085.69,80112.93
35,27.88,0.7965,79618.04,79645.92
36,29.15,0.8098,80948.26,80977.41
37,29.83,0.8061,80578.36,80608.18
38,30.45,0.8014,80110.22,80140.67
39,31.08,0.7970,79670.05,79701.14
40,32.37,0.8093,80893.72,80926.09
41,33.03,0.8056,80527.26,80560.29
42,33.67,0.8018,80143.81,80177.49
43,34.92,0.8122,81184.43,81219.35
44,35.72,0.8118,81145.15,81180.87
45,36.37,0.8083,80793.06,80829.43
46,37.04,0.8051,80474.49,80511.52
47,38.33,0.8155,81507.31,81545.63
48,38.97,0.8118,81143.96,81182.93
49,39.63,0.8088,80836.94,80876.57
50,40.28,0.8056,80515.24,80555.52
51,41.55,0.8148,81435.91,81477.47
52,42.21,0.8118,81134.79,81177.00
53,42.87,0.8088,80839.59,80882.46
54,43.51,0.8058,80533.10,80576.61
55,44.77,0.8141,81362.52,81407.29
56,45.42,0.8111,81066.81,81112.23
57,46.06,0.8081,80765.97,80812.03
58,46.70,0.8052,80475.40,80522.11
59,48.00,0.8136,81310.15,81358.15
60,48.77,0.8129,81239.12,81287.89
61,49.43,0.8103,80979.15,81028.57
62,50.09,0.8080,80745.36,80795.45
63,51.40,0.8158,81529.01,81580.41
64,52.05,0.8132,81269.39,81321.44
65,52.70,0.8108,81029.81,81082.51
66,53.34,0.8082,80769.14,80822.48
67,54.65,0.8157,81510.48,81565.12
68,55.29,0.8131,81258.00,81313.29
69,55.95,0.8109,81035.52,81091.48
70,56.59,0.8085,80790.86,80847.46
71,57.88,0.8152,81464.16,81522.04
72,58.54,0.8131,81247.52,81306.06
73,59.17,0.8106,80998.81,81057.98
74,59.81,0.8082,80762.01,80821.82
75,61.07,0.8143,81368.56,81429.63
76,61.73,0.8123,81164.90,81226.63
77,62.38,0.8102,80953.43,81015.81
78,63.03,0.8080,80738.56,80801.59
79,64.30,0.8140,81333.36,81397.66
80,64.95,0.8119,81125.15,81190.10
81,65.60,0.8098,80918.07,80983.67
82,66.23,0.8077,80701.45,80767.68
83,67.49,0.8132,81249.00,81316.49
84,68.14,0.8112,81050.61,81118.75
85,68.80,0.8094,80871.18,80939.98
86,70.04,0.8144,81371.22,81441.26
87,70.69,0.8126,81185.49,81256.18
88,71.34,0.8107,80999.35,81070.70
89,71.98,0.8088,80809.35,80881.34
90,73.27,0.8141,81339.73,81413.01
91,73.92,0.8123,81158.73,81232.65
92,74.58,0.8107,80992.46,81067.04
93,75.22,0.8088,80808.26,80883.48
94,76.47,0.8135,81277.28,81353.75
