iter,elapsed_sec,avg_iter_sec,eta_target_sec,total_est_sec
13388,0.67,0.0000,4.30,4.97
13389,1.58,0.0001,10.25,11.83
13390,2.35,0.0002,15.18,17.52
13391,3.71,0.0003,23.99,27.70
13392,4.48,0.0003,28.99,33.47
13393,5.26,0.0004,34.04,39.31
13394,6.04,0.0005,39.05,45.09
13395,7.39,0.0006,47.75,55.13
13396,8.14,0.0006,52.65,60.80
13397,8.91,0.0007,57.60,66.51
13398,9.68,0.0007,62.58,72.27
13399,11.03,0.0008,71.32,82.35
13400,11.81,0.0009,76.32,88.13
13401,12.57,0.0009,81.26,93.84
13402,13.32,0.0010,86.04,99.35
13403,14.70,0.0011,94.95,109.64
13404,15.46,0.0012,99.87,115.33
13405,16.21,0.0012,104.75,120.96
13406,16.98,0.0013,109.65,126.62
13407,18.32,0.0014,118.35,136.68
13408,19.09,0.0014,123.26,142.35
13409,19.83,0.0015,128.05,147.88
13410,20.57,0.0015,132.79,153.36
13411,21.96,0.0016,141.76,163.71
13412,22.74,0.0017,146.83,169.57
13413,23.51,0.0018,151.74,175.24
13414,24.25,0.0018,156.56,180.81
13415,25.66,0.0019,165.60,191.26
13416,26.42,0.0020,170.53,196.96
13417,27.20,0.0020,175.50,202.69
13418,27.93,0.0021,180.19,208.12
13419,29.28,0.0022,188.95,218.23
13420,30.03,0.0022,193.77,223.80
13421,30.78,0.0023,198.57,229.35
13422,31.51,0.0023,203.26,234.77
13423,32.87,0.0024,212.03,244.91
13424,33.63,0.0025,216.92,250.55
13425,34.37,0.0026,221.67,256.04
13426,35.10,0.0026,226.36,261.46
13427,36.48,0.0027,235.23,271.72
13428,37.23,0.0028,240.00,277.22
13429,37.97,0.0028,244.75,282.71
13430,39.31,0.0029,253.42,292.74
13431,40.08,0.0030,258.30,298.38
13432,40.86,0.0030,263.33,304.19
13433,41.62,0.0031,268.24,309.87
13434,43.01,0.0032,277.16,320.17
13435,43.78,0.0033,282.05,325.83
13436,44.55,0.0033,287.01,331.56
13437,45.30,0.0034,291.80,337.09
13438,46.65,0.0035,300.53,347.18
13439,47.41,0.0035,305.39,352.80
13440,48.19,0.0036,310.34,358.52
13441,48.92,0.0036,315.07,363.99
13442,50.28,0.0037,323.74,374.01
13443,51.05,0.0038,328.72,379.78
13444,51.83,0.0039,333.67,385.49
13445,52.58,0.0039,338.47,391.05
13446,53.96,0.0040,347.33,401.29
13447,54.73,0.0041,352.28,407.01
13448,55.50,0.0041,357.23,412.73
13449,56.23,0.0042,361.89,418.13
13450,57.59,0.0043,370.62,428.21
13451,58.36,0.0043,375.48,433.84
13452,59.15,0.0044,380.55,439.70
13453,59.91,0.0045,385.40,445.31
13454,61.27,0.0046,394.16,455.44
13455,62.02,0.0046,398.95,460.98
13456,62.77,0.0047,403.70,466.47
13457,63.51,0.0047,408.42,471.93
13458,64.86,0.0048,417.09,481.96
13459,65.64,0.0049,422.04,487.67
13460,66.39,0.0049,426.82,493.20
13461,67.13,0.0050,431.59,498.73
13462,68.52,0.0051,440.50,509.02
13463,69.28,0.0051,445.34,514.62
13464,70.04,0.0052,450.14,520.17
13465,70.76,0.0053,454.78,525.54
13466,72.18,0.0054,463.83,536.00
13467,72.94,0.0054,468.65,541.59
13468,73.73,0.0055,473.69,547.41
13469,74.48,0.0055,478.46,552.94
13470,75.87,0.0056,487.41,563.28
13471,76.65,0.0057,492.35,569.00
13472,77.43,0.0057,497.30,574.73
13473,78.78,0.0058,505.97,584.76
13474,79.55,0.0059,510.83,590.38
13475,80.31,0.0060,515.65,595.96
13476,81.07,0.0060,520.50,601.57
13477,82.46,0.0061,529.38,611.84
13478,83.23,0.0062,534.28,617.50
13479,84.00,0.0062,539.22,623.22
13480,84.77,0.0063,544.10,628.87
13481,86.15,0.0064,552.87,639.02
13482,86.90,0.0064,557.67,644.58
13483,87.68,0.0065,562.61,650.29
13484,88.45,0.0066,567.52,655.98
13485,89.79,0.0067,576.09,665.88
13486,90.55,0.0067,580.90,671.46
13487,91.31,0.0068,585.71,677.01
13488,92.07,0.0068,590.55,682.62
13489,93.41,0.0069,599.07,692.47
13490,94.16,0.0070,603.82,697.98
13491,94.90,0.0070,608.56,703.46
13492,95.69,0.0071,613.52,709.20
13493,97.06,0.0072,622.30,719.36
13494,97.82,0.0072,627.13,724.95
13495,98.59,0.0073,631.95,730.54
13496,99.32,0.0074,636.60,735.92
13497,100.69,0.0075,645.30,745.98
13498,101.44,0.0075,650.06,751.50
13499,102.17,0.0076,654.70,756.87
13500,102.92,0.0076,659.43,762.34
13501,104.30,0.0077,668.21,772.50
13502,105.04,0.0078,672.93,777.98
13503,105.80,0.0078,677.70,783.50
13504,106.53,0.0079,682.32,788.85
13505,107.96,0.0080,691.42,799.37
13506,108.72,0.0080,696.23,804.95
13507,109.46,0.0081,700.91,810.36
13508,110.22,0.0082,705.77,815.99
13509,111.58,0.0083,714.41,825.99
13510,112.33,0.0083,719.14,831.47
13511,113.09,0.0084,723.91,837.00
13512,114.45,0.0085,732.60,847.06
13513,115.21,0.0085,737.38,852.59
13514,115.99,0.0086,742.27,858.26
13515,116.76,0.0086,747.15,863.90
13516,118.13,0.0087,755.88,874.01
